date,close,adj_close
2020-03-06,208.02,199.9902
2020-03-13,192.34,184.9155
2020-03-20,170.7,164.1108
2020-03-27,185.3,178.5263
2020-04-03,183.37,176.6668
2020-04-09,200.86,193.5174
2020-04-17,215.29,207.42
2020-04-24,213.84,206.023
2020-05-01,212.74,204.9632
2020-05-08,224.86,216.6401
2020-05-15,223.27,215.1082
2020-05-22,229.66,221.2646
2020-05-29,233.36,224.8294
2020-06-05,239.69,230.928
2020-06-12,235.88,227.2573
2020-06-19,244.24,235.3117
2020-06-26,240.22,231.8366
2020-07-02,252.19,243.3888
2020-07-10,263.97,254.7577
2020-07-17,259.42,250.3665
2020-07-24,255.56,246.6412
2020-07-31,265.79,256.5142
2020-08-07,271.47,261.996
2020-08-14,272.16,262.6619
2020-08-21,281.87,272.033
2020-08-28,292.53,282.321
2020-09-04,283.58,273.6834
2020-09-11,270.45,261.0116
2020-09-18,266.87,257.5565
2020-09-25,271.56,262.4632
2020-10-02,274.31,265.1211
2020-10-09,285.71,276.1392
2020-10-16,288.51,278.8454
2020-10-23,284.74,275.2017
2020-10-30,269.38,260.3562
2020-11-06,294.61,284.7411
2020-11-13,290.93,281.1843
2020-11-20,290.38,280.6528
2020-11-27,299.01,288.9937
2020-12-04,305.52,295.2856
2020-12-11,301.85,291.7385
2020-12-18,310.06,299.6735
2020-12-24,309.56,299.7339
2020-12-31,313.74,303.7812
2021-01-08,319.03,308.9033
2021-01-15,311.86,301.9609
2021-01-22,325.42,315.0905
2021-01-29,314.56,304.5752
2021-02-05,331.36,320.8419
2021-02-12,336.45,325.7704
2021-02-19,331.02,320.5127
2021-02-26,314.14,304.1685
2021-03-05,308.68,298.8818
2021-03-12,315.46,305.4466
2021-03-19,313.14,303.2003
2021-03-26,316.0,306.3485
2021-04-01,324.57,314.6568
2021-04-09,337.11,326.8138
2021-04-16,342.01,331.5641
2021-04-23,339.42,329.0532
2021-04-30,337.99,327.6669
2021-05-07,334.2,323.9926
2021-05-14,326.39,316.4212
2021-05-21,327.01,317.0222
2021-05-28,333.93,323.7309
2021-06-04,335.6,325.3499
2021-06-11,341.24,330.8176
2021-06-18,342.63,332.1652
2021-06-25,349.46,339.1769
2021-07-02,358.64,348.0868
2021-07-09,361.01,350.3871
2021-07-16,357.6,347.0774
2021-07-23,368.2,357.3655
2021-07-30,364.57,353.8423
2021-08-06,368.05,357.2199
2021-08-13,368.82,357.9672
2021-08-20,367.73,356.9093
2021-08-27,376.04,364.9748
2021-09-03,381.57,370.3421
2021-09-10,376.59,365.5086
2021-09-17,373.83,362.8298
2021-09-24,373.33,362.7547
2021-10-01,360.18,349.9772
2021-10-08,361.16,350.9294
2021-10-15,368.94,358.489
2021-10-22,374.1,363.5028
2021-10-29,386.11,375.1726
2021-11-05,398.6,387.3088
2021-11-12,394.7,383.5193
2021-11-19,403.99,392.5461
2021-11-26,391.2,380.1184
2021-12-03,383.13,372.277
2021-12-10,398.01,386.7355
2021-12-17,384.91,374.0066
2021-12-23,396.92,386.1743
2021-12-31,397.85,387.0791
2022-01-07,379.86,369.5761
2022-01-14,380.01,369.7221
2022-01-21,351.69,342.1688
2022-01-28,351.8,342.2758
2022-02-04,358.01,348.3177
2022-02-11,347.06,337.6641
2022-02-18,341.51,332.2644
2022-02-25,345.77,336.409
